;语言文件格式为: 名称|中文|英文，竖线分割，逗号与分号为注释，///为换行，空行自动忽略
;Language file format: Name|Chinese|English，vertical is delimiter， comma or semicolon is Comments，///is newline，Empty lines automatically ignored
 
lang_Main_Title|USR-GM3|USR-GM3
lang_Main_AppTitle|USR-GM3|USR-GM3
lang_Menu_File|文件|File
lang_Menu_Quit|退出|Quit
lang_Menu_Lang|Language|Language
lang_Menu_Cn|简体中文|简体中文
lang_Menu_En|English|English
lang_Menu_Diy|DiyLang|DiyLang
lang_Menu_Help|帮助|Help
lang_Menu_About|关于...|About...
lang_Menu_Hint|实时帮助|Real-time Help
lang_Menu_Version|检查更新|Latest version
lang_Menu_DownUrl|http://www.usr.cn/Download/249.html|http://www.usriot.com/Download/248.html
lang_Menu_WorkOrder|提交问题|Work Order
lang_Menu_WorkOrderUrl|http://h.usr.cn/index.php|http://h.usriot.com/index.php
lang_lblOpenCom|串口号|ComName
lang_lblOpenBaud|波特率|BaudRate
lang_lblOpenPDS|检验/数据/停止|Parity/Data/Stop
lang_lblOpenFlow|流控|Flow
lang_btnOpen|打开串口|Open  Serial
lang_btnClose|关闭串口|Close Serial
lang_rzgrpbxWkmod| 选择工作模式| Choose Work Mode
lang_rbNetTran| 网络透传模式|Network Transmission
lang_rbHttpd| HTTPD模式|HTTPD Mode
lang_rbSmsTran| 短信透传模式|SMS Transmission
lang_rzgrpbxPara|相关参数| Param of 
lang_rzchckbxSkt|连接服务器|Enable Net
lang_lblIpAndPort|地址和端口|IP&Port
lang_lblLinkTpye|连接类型|Link type
lang_cbbASL0|短链接|Short connection
lang_cbbASL1|长连接|Long connection
lang_rzchckbxHeartEn|启用心跳包|Enable heartbeat
lang_lblHeartTm|心跳时间(秒)|Heartbeat time(s)
lang_lblHeartDt|心跳数据|Heartbeat data
lang_lblHeartTp|心跳发送方式|Heartbeat send type
lang_cbbHeartTp0|向服务器发送心跳包|Send data to network
lang_cbbHeartTp1|向串口终端发送心跳包|Send data to serial port
lang_rzchckbxRegEn|启用注册包|Enable register package
lang_lblRegSnd|注册包发送方式|Reg package send type
lang_cbbRegSnd0|与服务器建立连接时向服务器发送一次|Send register data when socket connects
lang_cbbRegSnd1|向服务器发送的每个数据包前都加上|Send register data as the head of every TCP/UDP package
lang_cbbRegSnd2|同时支持以上两种|Support both of above two ways
lang_lblRegTp|注册数据类型|Reg package data type
lang_cbbRegTp0|ICCID码|ICCID code
lang_cbbRegTp1|IMEI码|IMEI code
lang_cbbRegTp2|注册ID|Register ID (for D2D function)
lang_cbbRegTp3|自定义数据|User-defined data
lang_rzchckbxCloudEn|启用透传云|Enable USR Cloud
lang_lblCloudId|设备编号|Device ID
lang_lblCloudPa|通讯密码|Communication Code
lang_lblHTPTP|HTTP请求方式|HTTP request type
lang_lblHTPURL|HTTP请求的URL|HTTP URL
lang_lblHTPSVIP|服务器地址|HTTP server address
lang_lblHTPSVPort|服务器端口|HTTP server port
lang_lblHTPHD|HTTP请求头信息|HTTP request head
lang_lblDSTNUM|透传目标电话号码|Destination phone number 
lang_rzgrpbxBase| 全局参数| Base Param
lang_lblApn|运营商及APN|APN code
lang_cbbApn0|移动|CMNET
lang_cbbApn1|联通|UNINET
lang_cbbApn2|其他|Other
lang_lblUart|串口参数|Serial param
lang_lblBaud|串口波特率|Serial BaudRate
lang_rzchckbxMore|高级|More Function
lang_rzchckbxRFC|类RFC2217|Similar RFC2117
lang_rzchckbxE|指令回显|Enable echo
lang_rzchckbxCalEn|通话功能|Enable call
lang_rzchckbxNatEn|网络AT命令|Network command
lang_rzchckbxUatEn|串口AT命令|Serial port command
lang_rzchckbxCachEn|允许缓存数据|Data cache
lang_lbledtCmdPw|命令密码|Command password
lang_lbledtStMsg|启动信息|Welcome message
lang_rzgrpbxDo| 执行命令及提示| Operation and Hints
lang_btnAskAll|获取当前参数|Get All Param
lang_btnSetAll|设置并保存所有参数|Set Save All Param
lang_btnPPPA|进入配置状态|Enter cfg status
lang_btnENTM|进入通讯状态|Exit cfg status
lang_btnH|帮助信息|Help message
lang_btnZ|模块重启|Restart
lang_btnVER|查询版本|Query version
lang_btnCNUM|查询本机号码|Query phone number
lang_btnCFGTF|存为用户默认|Save as default
lang_btnRELD|恢复用户默认|Restore default
lang_btnCLEAR|恢复出厂设置|Restore factory
lang_btnS|保存参数|Save Param
lang_lblReTelNum|目标电话号码|Destination phone number
lang_pmSendType0|通过串口发送|Send via Serial Port
lang_pmSendType1|发送手机短信|Sned SMS message
lang_btnSend|发送|Send
lang_pmSend0|按Enter键发送|Enter key to send
lang_pmSend1|按Ctrl+Enter键发送|Ctrl+ENTER to send
lang_pmSend3|AT指令自动加回车|Auto attach CR
lang_pmCls0|复制|Copy
lang_pmCls1|全选|Select all
lang_pmCls3|清屏|Clear
lang_About_Title|关于|About
lang_About_Version|版本：|Version:
lang_About_OK|确 认|OK
lang_About_SoftName|名称：USR-GM3|Name: USR-GM3
lang_About_Description|说明：本程序由济南有人物联网技术有限公司设计提供，本软件使用免费。|Instruction:  This software is design by Jinan usr IOT Technology Co., Ltd.
lang_About_Contact|联系我们：|Contact Us:
lang_About_Website|http://www.usr.cn|http://www.usriot.com
lang_About_Tel|0531-88822739|0531-88822739
lang_About_Email|tec@usr.cn|tec@usr.cn
lang_frm_APN|APN设置|APN Setting
lang_lbledt_APN|APN|APN
lang_lbledt_account|账号|Account
lang_lbledt_password|密码|Password
lang_btn_APN|确定|OK
lang_ApnEmpty|APN不能为空|APN can not empty
hint_cbbOpenUart|PC串口和DTU应采用相同的串口参数|PC Serial and DTU should work in the same serial port parameters
hint_cbbUart|DTU和串口终端应采用相同的串口参数|DTU and Serial console should work in the same serial port parameters
hint_chkEn|勾选表示启用|Checcked make enable
hint_chkHex|勾选以输入16进制数据|Checcked to input hexadecimal number
hint_edtCloudId|20位|length is 20
hint_edtCloudPa|8位|length is 8
hint_rzchckbxCloudEn|启用透传云时，注册包功能失效！|When enable USR Cloud, register package function voidance!
info_ComOpenYes|串口已打开|Serial Open Success
info_ComCloseYes|串口已关闭|Serial Close Success
info_ComOpenNo|串口打开失败，请检查该串口是否被其他软件占用！|Failure , please close other software which use this Com Port.
info_ComNoOpen|串口未打开|Serial port is not open
info_DoOver|执行完毕|Operation complete
info_Start0|一般操作流程：|General operation process:
info_Start1|1、模块连PC串口,上电；|1,Module connect to PC serial port;
info_Start2|2、打开串口；|2,Open the serial port;
info_Start3|3、获取当前参数；|3,Get All Param;
info_Start4|4、选择工作模式及配置相关参数；|4,Choose work mode and configure related parameters;
info_Start5|5、设置并保存所有参数。|5,Set and Save All Param.
